license_number,license_key,activation_code,customer_name,license_type,issue_date,expiry_date,validity,status
48,F0B5-7572-C3A5-E888,9539-F69B-3C78-CA2C-3C78-CA2D-3C78-CA2E,Cliente0048,standard,2025-11-02,PERMANENTE,LIFETIME,active
49,AC15-DD87-E6F3-C647,A6A5-34B9-7B4B-CC0A-7B4B-CC0B-7B4B-CC0C,Cliente0049,standard,2025-11-02,PERMANENTE,LIFETIME,active
50,E634-DDA9-04A5-5520,F6EE-C4CA-D4C7-5E3B-D4C7-5E3C-D4C7-5E3D,Cliente0050,standard,2025-11-02,PERMANENTE,LIFETIME,active
51,22B3-06D5-F8D7-2DE5,71E5-4781-AE8E-37D2-AE8E-37D3-AE8E-37D4,Cliente0051,standard,2025-11-02,PERMANENTE,LIFETIME,active
52,B734-D774-4C07-8AC1,89B8-70B1-C0C6-8702-C0C6-8703-C0C6-8704,Cliente0052,standard,2025-11-02,PERMANENTE,LIFETIME,active
53,739E-0C6C-5143-EF2E,295D-37C3-5504-3054-5504-3055-5504-3056,Cliente0053,standard,2025-11-02,PERMANENTE,LIFETIME,active
54,7EB4-EA3B-E02F-7C30,5F36-4317-45FE-A628-45FE-A629-45FE-A62A,Cliente0054,standard,2025-11-02,PERMANENTE,LIFETIME,active
55,F44B-E76F-1174-2F82,355D-CDD7-E117-88E8-E117-88E9-E117-88EA,Cliente0055,standard,2025-11-02,PERMANENTE,LIFETIME,active
56,9BB6-CFE8-FB6C-B2A1,23FD-3F00-A3A5-1F31-A3A5-1F32-A3A5-1F33,Cliente0056,standard,2025-11-02,PERMANENTE,LIFETIME,active
57,ED9D-B1BA-85D6-B652,CB68-DAA2-3884-2F13-3884-2F14-3884-2F15,Cliente0057,standard,2025-11-02,PERMANENTE,LIFETIME,active
58,96D8-DBC8-4EB8-239F,B5D8-F6A3-70F7-CB34-70F7-CB35-70F7-CB36,Cliente0058,standard,2025-11-02,PERMANENTE,LIFETIME,active
59,8859-EC30-FFDE-C248,99C8-621F-D2D4-A630-D2D4-A631-D2D4-A632,Cliente0059,standard,2025-11-02,PERMANENTE,LIFETIME,active
60,5C0A-F9B6-B612-5DBC,5CF5-5619-FBA0-196A-FBA0-196B-FBA0-196C,Cliente0060,standard,2025-11-02,PERMANENTE,LIFETIME,active
61,8907-2478-84AA-05BF,48A8-E728-5DC5-CC59-5DC5-CC5A-5DC5-CC5B,Cliente0061,standard,2025-11-02,PERMANENTE,LIFETIME,active
62,0D6C-7F04-7640-DCD6,50BF-F040-68BD-F871-68BD-F872-68BD-F873,Cliente0062,standard,2025-11-02,PERMANENTE,LIFETIME,active
63,363A-EAD8-0298-6EB2,DB00-FF61-3B20-EBB2-3B20-EBB3-3B20-EBB4,Cliente0063,standard,2025-11-02,PERMANENTE,LIFETIME,active
64,0D0A-4E44-CF84-5616,AB2E-ED2D-110C-92FE-110C-92FF-110C-9300,Cliente0064,standard,2025-11-02,PERMANENTE,LIFETIME,active
65,DD20-47D1-5801-327F,4F1A-85BA-326B-3D2B-326B-3D2C-326B-3D2D,Cliente0065,standard,2025-11-02,PERMANENTE,LIFETIME,active
66,0EC4-F112-D1D6-B008,FF1F-BF6F-E317-AD80-E317-AD81-E317-AD82,Cliente0066,standard,2025-11-02,PERMANENTE,LIFETIME,active
67,82E4-2952-C222-E75D,A790-5AE3-999B-B774-999B-B775-999B-B776,Cliente0067,standard,2025-11-02,PERMANENTE,LIFETIME,active
68,792A-4287-6FCF-7D5B,0CF0-536F-AAFA-C180-AAFA-C181-AAFA-C182,Cliente0068,standard,2025-11-02,PERMANENTE,LIFETIME,active
69,3C13-3477-74CD-D0BD,61DA-935B-9D2C-FEEC-9D2C-FEED-9D2C-FEEE,Cliente0069,standard,2025-11-02,PERMANENTE,LIFETIME,active
70,0786-1C86-61AD-1D4D,21AF-1570-5791-C3A1-5791-C3A2-5791-C3A3,Cliente0070,standard,2025-11-02,PERMANENTE,LIFETIME,active
71,CCC6-43EB-18A8-F524,CA66-7310-1734-D541-1734-D542-1734-D543,Cliente0071,standard,2025-11-02,PERMANENTE,LIFETIME,active
72,C1E7-AF43-F85D-39E0,11C0-CF36-49DA-B627-49DA-B628-49DA-B629,Cliente0072,standard,2025-11-02,PERMANENTE,LIFETIME,active
73,B670-5413-A385-B78F,63E5-92E4-E097-EF95-E097-EF96-E097-EF97,Cliente0073,standard,2025-11-02,PERMANENTE,LIFETIME,active
74,DB4D-6838-33AE-1719,7A04-A975-BA99-D846-BA99-D847-BA99-D848,Cliente0074,standard,2025-11-02,PERMANENTE,LIFETIME,active
75,11AE-A6FC-3F05-754F,AD31-FF6C-5371-ED1D-5371-ED1E-5371-ED1F,Cliente0075,standard,2025-11-02,PERMANENTE,LIFETIME,active
76,79BE-39B7-F62B-29E3,39FB-5DAF-7967-13C0-7967-13C1-7967-13C2,Cliente0076,standard,2025-11-02,PERMANENTE,LIFETIME,active
77,BFDC-043A-CD31-E834,B18F-11F6-E371-50E7-E371-50E8-E371-50E9,Cliente0077,standard,2025-11-02,PERMANENTE,LIFETIME,active
78,2CBE-54CE-35E2-0AAD,3D66-E222-EA43-2693-EA43-2694-EA43-2695,Cliente0078,standard,2025-11-02,PERMANENTE,LIFETIME,active
79,99D5-5035-FBD8-44F0,AD61-E7BA-599E-DF2B-599E-DF2C-599E-DF2D,Cliente0079,standard,2025-11-02,PERMANENTE,LIFETIME,active
80,8C30-2582-8452-A41F,9EC7-7B6E-77B6-E95F-77B6-E960-77B6-E961,Cliente0080,standard,2025-11-02,PERMANENTE,LIFETIME,active
81,C5EC-3C09-EAE7-8660,6B00-6C15-CB0D-EEE6-CB0D-EEE7-CB0D-EEE8,Cliente0081,standard,2025-11-02,PERMANENTE,LIFETIME,active
82,991C-966D-5ADA-188A,F686-D80C-C761-D9BD-C761-D9BE-C761-D9BF,Cliente0082,standard,2025-11-02,PERMANENTE,LIFETIME,active
83,1B89-BF7F-8D19-E85E,ADA9-1B46-62CC-8437-62CC-8438-62CC-8439,Cliente0083,standard,2025-11-02,PERMANENTE,LIFETIME,active
84,244D-492C-F087-FBD5,D3FF-38A6-53E6-4D97-53E6-4D98-53E6-4D99,Cliente0084,standard,2025-11-02,PERMANENTE,LIFETIME,active
85,1D9C-3EFB-D655-555B,483D-6576-4FEA-1467-4FEA-1468-4FEA-1469,Cliente0085,standard,2025-11-02,PERMANENTE,LIFETIME,active
86,0F04-EFF4-B8E5-B5D9,1119-4E07-3443-0F18-3443-0F19-3443-0F1A,Cliente0086,standard,2025-11-02,PERMANENTE,LIFETIME,active
87,01FF-E37A-7F40-92DF,B8BB-9DF3-D02F-5C84-D02F-5C85-D02F-5C86,Cliente0087,standard,2025-11-02,PERMANENTE,LIFETIME,active
88,64BD-5B81-8B4F-8E96,0D09-C590-AE42-77C1-AE42-77C2-AE42-77C3,Cliente0088,standard,2025-11-02,PERMANENTE,LIFETIME,active
89,8006-FAB6-ED9C-2D6B,8099-F540-93D8-9D71-93D8-9D72-93D8-9D73,Cliente0089,standard,2025-11-02,PERMANENTE,LIFETIME,active
90,E6F5-C67E-4D6C-D617,CB37-C53E-3230-6D2F-3230-6D30-3230-6D31,Cliente0090,standard,2025-11-02,PERMANENTE,LIFETIME,active
91,F46F-1A4F-C33C-FF80,0743-4A82-EFAC-9AF3-EFAC-9AF4-EFAC-9AF5,Cliente0091,standard,2025-11-02,PERMANENTE,LIFETIME,active
92,DB3B-4E35-0A3D-C6F9,468C-73BC-181A-EB6D-181A-EB6E-181A-EB6F,Cliente0092,standard,2025-11-02,PERMANENTE,LIFETIME,active
93,0D6B-5BDA-EF2C-EEDA,2F71-5697-1D9C-29A8-1D9C-29A9-1D9C-29AA,Cliente0093,standard,2025-11-02,PERMANENTE,LIFETIME,active
94,FFCC-938D-5B57-3DF7,BD03-F291-5D82-44E2-5D82-44E3-5D82-44E4,Cliente0094,standard,2025-11-02,PERMANENTE,LIFETIME,active
95,D316-2862-D853-C148,5AFC-F334-BA9B-59E5-BA9B-59E6-BA9B-59E7,Cliente0095,standard,2025-11-02,PERMANENTE,LIFETIME,active
96,B683-478F-D69A-3DEA,1690-97FD-E8A3-97CE-E8A3-97CF-E8A3-97D0,Cliente0096,standard,2025-11-02,PERMANENTE,LIFETIME,active
97,0B18-FD0F-560B-21C8,236C-0756-90EC-F247-90EC-F248-90EC-F249,Cliente0097,standard,2025-11-02,PERMANENTE,LIFETIME,active
98,9648-0C54-BD76-36FD,EBF5-CC5D-6AAF-582E-6AAF-582F-6AAF-5830,Cliente0098,standard,2025-11-02,PERMANENTE,LIFETIME,active
99,2362-8959-DB39-ADC6,CCB9-77DC-63E8-738D-63E8-738E-63E8-738F,Cliente0099,standard,2025-11-02,PERMANENTE,LIFETIME,active
100,8EE6-4776-A6F4-DAF4,A1BD-B0A0-D973-C4D1-D973-C4D2-D973-C4D3,Cliente0100,standard,2025-11-02,PERMANENTE,LIFETIME,active
101,C016-1AA5-C7B8-A37A,C76E-64E2-B53B-0153-B53B-0154-B53B-0155,Cliente0101,standard,2025-11-02,PERMANENTE,LIFETIME,active
102,B0B8-EE02-689F-C842,C19E-AAC6-F574-03B7-F574-03B8-F574-03B9,Cliente0102,standard,2025-11-02,PERMANENTE,LIFETIME,active
103,AB4B-24A7-F825-E98A,16A9-25D3-EBCD-E064-EBCD-E065-EBCD-E066,Cliente0103,standard,2025-11-02,PERMANENTE,LIFETIME,active
104,8B76-44F7-92FA-A8EE,DDA2-BBA1-91FA-2FF2-91FA-2FF3-91FA-2FF4,Cliente0104,standard,2025-11-02,PERMANENTE,LIFETIME,active
105,D98B-3A05-CE65-6B57,444D-BDC7-CE05-76D8-CE05-76D9-CE05-76DA,Cliente0105,standard,2025-11-02,PERMANENTE,LIFETIME,active
106,9019-BC76-116E-AA9F,7958-4CA3-A461-E134-A461-E135-A461-E136,Cliente0106,standard,2025-11-02,PERMANENTE,LIFETIME,active
107,9F71-06CA-5E90-90B5,2F63-2734-1BC8-0DE5-1BC8-0DE6-1BC8-0DE7,Cliente0107,standard,2025-11-02,PERMANENTE,LIFETIME,active
108,2D28-732C-A2F3-3C54,6307-B36A-C3FE-20DB-C3FE-20DC-C3FE-20DD,Cliente0108,standard,2025-11-02,PERMANENTE,LIFETIME,active
109,2A91-199B-FF49-8F16,6C11-0FC0-EE33-07F1-EE33-07F2-EE33-07F3,Cliente0109,standard,2025-11-02,PERMANENTE,LIFETIME,active
110,DCE5-14FE-12BE-D767,622A-A3C3-A77F-1C54-A77F-1C55-A77F-1C56,Cliente0110,standard,2025-11-02,PERMANENTE,LIFETIME,active
111,288E-1067-A21C-FE9B,1C4A-4A02-A593-8A73-A593-8A74-A593-8A75,Cliente0111,standard,2025-11-02,PERMANENTE,LIFETIME,active
112,5B3F-34CA-7E85-CA1F,77E7-9CFF-74DB-3D10-74DB-3D11-74DB-3D12,Cliente0112,standard,2025-11-02,PERMANENTE,LIFETIME,active
113,B98D-BEDC-571E-8EB5,98D7-D53B-B3D2-7CCC-B3D2-7CCD-B3D2-7CCE,Cliente0113,standard,2025-11-02,PERMANENTE,LIFETIME,active
114,A3A5-3C21-20E7-75FB,5980-7935-898F-A006-898F-A007-898F-A008,Cliente0114,standard,2025-11-02,PERMANENTE,LIFETIME,active
115,B7AA-ED51-C3A8-3D33,70E6-0976-8DA7-3867-8DA7-3868-8DA7-3869,Cliente0115,standard,2025-11-02,PERMANENTE,LIFETIME,active
116,0EE3-4D36-D6F6-2138,D7A9-85B2-CCDA-3C23-CCDA-3C24-CCDA-3C25,Cliente0116,standard,2025-11-02,PERMANENTE,LIFETIME,active
117,1BF4-1B40-368F-12B3,1531-6483-BB5D-F514-BB5D-F515-BB5D-F516,Cliente0117,standard,2025-11-02,PERMANENTE,LIFETIME,active
118,007B-4BDD-F713-DD49,97B9-11AD-8EDB-477E-8EDB-477F-8EDB-4780,Cliente0118,standard,2025-11-02,PERMANENTE,LIFETIME,active
119,449A-6829-B2AE-FB3D,7F74-AA34-6E09-F0E5-6E09-F0E6-6E09-F0E7,Cliente0119,standard,2025-11-02,PERMANENTE,LIFETIME,active
120,E64B-AB4C-004F-82C6,AEBA-6608-8607-2739-8607-273A-8607-273B,Cliente0120,standard,2025-11-02,PERMANENTE,LIFETIME,active
121,840C-79D3-B7E4-9003,C9D8-7E24-04E8-42D5-04E8-42D6-04E8-42D7,Cliente0121,standard,2025-11-02,PERMANENTE,LIFETIME,active
122,5502-3FA2-2FB6-19B6,3D15-EC2A-DFD3-719B-DFD3-719C-DFD3-719D,Cliente0122,standard,2025-11-02,PERMANENTE,LIFETIME,active
123,CA88-F947-D3CB-A54E,D82E-EA69-DE0C-37BA-DE0C-37BB-DE0C-37BC,Cliente0123,standard,2025-11-02,PERMANENTE,LIFETIME,active
124,084C-F121-504E-819E,8FC4-743E-8852-FC2F-8852-FC30-8852-FC31,Cliente0124,standard,2025-11-02,PERMANENTE,LIFETIME,active
125,2D60-D78B-717E-F5C1,B86A-97E4-C5BD-9495-C5BD-9496-C5BD-9497,Cliente0125,standard,2025-11-02,PERMANENTE,LIFETIME,active
126,95AE-2737-11D2-D416,0997-327E-3C7D-826F-3C7D-8270-3C7D-8271,Cliente0126,standard,2025-11-02,PERMANENTE,LIFETIME,active
127,E77A-3C16-FA19-C93B,8CDE-10B3-28A0-2744-28A0-2745-28A0-2746,Cliente0127,standard,2025-11-02,PERMANENTE,LIFETIME,active
128,6C8A-F8F0-EC8A-145B,0706-9F83-E7DA-9014-E7DA-9015-E7DA-9016,Cliente0128,standard,2025-11-02,PERMANENTE,LIFETIME,active
129,BA99-11FA-4F7D-C2E6,5E83-6CE3-2EF1-0974-2EF1-0975-2EF1-0976,Cliente0129,standard,2025-11-02,PERMANENTE,LIFETIME,active
130,8070-AA64-D755-D7A9,6177-ADD5-906D-68A6-906D-68A7-906D-68A8,Cliente0130,standard,2025-11-02,PERMANENTE,LIFETIME,active
131,B484-9E29-3A94-AC7F,CEF7-C7ED-ADF0-C5BE-ADF0-C5BF-ADF0-C5C0,Cliente0131,standard,2025-11-02,PERMANENTE,LIFETIME,active
132,EB59-05C1-796E-169B,0CA5-BB1B-A15D-1EAC-A15D-1EAD-A15D-1EAE,Cliente0132,standard,2025-11-02,PERMANENTE,LIFETIME,active
133,D835-F006-774B-67A9,9B5A-706B-06A8-7DFC-06A8-7DFD-06A8-7DFE,Cliente0133,standard,2025-11-02,PERMANENTE,LIFETIME,active
134,C786-C01F-16FD-D784,CA93-29AA-1CF8-5F1B-1CF8-5F1C-1CF8-5F1D,Cliente0134,standard,2025-11-02,PERMANENTE,LIFETIME,active
135,7570-2AD3-AE48-E691,24B4-2674-BB38-F525-BB38-F526-BB38-F527,Cliente0135,standard,2025-11-02,PERMANENTE,LIFETIME,active
136,67EF-F000-BA27-0910,4963-22A4-75C7-7755-75C7-7756-75C7-7757,Cliente0136,standard,2025-11-02,PERMANENTE,LIFETIME,active
137,3012-A292-0CA4-64B5,5679-234D-259D-8D1E-259D-8D1F-259D-8D20,Cliente0137,standard,2025-11-02,PERMANENTE,LIFETIME,active
138,7D26-5569-BB97-552C,20A7-66AF-3594-3CC0-3594-3CC1-3594-3CC2,Cliente0138,standard,2025-11-02,PERMANENTE,LIFETIME,active
139,01A0-FCA7-4AEC-6A4D,5C54-61FF-E6E0-A210-E6E0-A211-E6E0-A212,Cliente0139,standard,2025-11-02,PERMANENTE,LIFETIME,active
140,2CF0-82C8-B986-BA42,4452-C0A2-CEAA-D513-CEAA-D514-CEAA-D515,Cliente0140,standard,2025-11-02,PERMANENTE,LIFETIME,active
141,852B-BD53-C031-5462,61A8-6677-96B5-3588-96B5-3589-96B5-358A,Cliente0141,standard,2025-11-02,PERMANENTE,LIFETIME,active
142,F39C-6A7A-7CF2-A4CB,396A-57B0-66B5-4DE1-66B5-4DE2-66B5-4DE3,Cliente0142,standard,2025-11-02,PERMANENTE,LIFETIME,active
143,9361-A122-5AD7-117B,D429-FA95-5969-4D66-5969-4D67-5969-4D68,Cliente0143,standard,2025-11-02,PERMANENTE,LIFETIME,active
144,8DEB-5122-439C-AC3F,3AF6-680D-99C3-69DE-99C3-69DF-99C3-69E0,Cliente0144,standard,2025-11-02,PERMANENTE,LIFETIME,active
145,FE20-2D79-AF25-44CF,D739-B892-BE70-CB03-BE70-CB04-BE70-CB05,Cliente0145,standard,2025-11-02,PERMANENTE,LIFETIME,active
146,6721-2715-BCA7-E5C1,793C-364A-A0C2-FFBB-A0C2-FFBC-A0C2-FFBD,Cliente0146,standard,2025-11-02,PERMANENTE,LIFETIME,active
147,8A8E-0312-AEC6-F852,D356-90E0-3E28-AD11-3E28-AD12-3E28-AD13,Cliente0147,standard,2025-11-02,PERMANENTE,LIFETIME,active
148,223A-F7A4-FAC5-CD08,B3ED-3F78-3195-2EA9-3195-2EAA-3195-2EAB,Cliente0148,standard,2025-11-02,PERMANENTE,LIFETIME,active
149,96E1-26F7-D08C-BBA1,72BC-A14F-CA50-CB60-CA50-CB61-CA50-CB62,Cliente0149,standard,2025-11-02,PERMANENTE,LIFETIME,active
150,AF81-36D5-11DB-F7C4,E382-2A0E-53C7-6BFF-53C7-6C00-53C7-6C01,Cliente0150,standard,2025-11-02,PERMANENTE,LIFETIME,active
151,84F9-E305-0F17-3917,CD19-517A-7043-80EB-7043-80EC-7043-80ED,Cliente0151,standard,2025-11-02,PERMANENTE,LIFETIME,active
152,2699-BC42-4DF0-0B02,1732-3327-FD78-9838-FD78-9839-FD78-983A,Cliente0152,standard,2025-11-02,PERMANENTE,LIFETIME,active
153,4636-594C-C5D6-F6A3,D403-615A-546F-8CCB-546F-8CCC-546F-8CCD,Cliente0153,standard,2025-11-02,PERMANENTE,LIFETIME,active
154,40A6-F73E-9BC0-A012,FE14-D2D2-C0AF-2D43-C0AF-2D44-C0AF-2D45,Cliente0154,standard,2025-11-02,PERMANENTE,LIFETIME,active
155,03E3-7D33-AAB5-AC82,3B29-9B43-A05D-03D4-A05D-03D5-A05D-03D6,Cliente0155,standard,2025-11-02,PERMANENTE,LIFETIME,active
156,5409-081B-5D76-EF39,FC6F-B92A-8A66-DE9B-8A66-DE9C-8A66-DE9D,Cliente0156,standard,2025-11-02,PERMANENTE,LIFETIME,active
157,007D-3292-5B48-473E,EE2A-D211-B385-1462-B385-1463-B385-1464,Cliente0157,standard,2025-11-02,PERMANENTE,LIFETIME,active
158,2B92-7FE9-BAF9-B0ED,4483-C677-D4FC-9588-D4FC-9589-D4FC-958A,Cliente0158,standard,2025-11-02,PERMANENTE,LIFETIME,active
159,214F-4BEB-5B02-E451,6AEA-CAB2-C844-2123-C844-2124-C844-2125,Cliente0159,standard,2025-11-02,PERMANENTE,LIFETIME,active
160,17EF-D019-1CE7-9CAD,75FB-DE22-3577-A293-3577-A294-3577-A295,Cliente0160,standard,2025-11-02,PERMANENTE,LIFETIME,active
161,A6A9-8662-12C7-CDED,940C-8B14-159D-EDC5-159D-EDC6-159D-EDC7,Cliente0161,standard,2025-11-02,PERMANENTE,LIFETIME,active
162,03F7-08E5-47E9-5CB1,0760-B4F6-F377-53E7-F377-53E8-F377-53E9,Cliente0162,standard,2025-11-02,PERMANENTE,LIFETIME,active
163,94D3-CFE7-5398-921B,C584-AA00-7619-EA31-7619-EA32-7619-EA33,Cliente0163,standard,2025-11-02,PERMANENTE,LIFETIME,active
164,D2D2-FC45-F192-51B6,E519-B93E-8850-E12F-8850-E130-8850-E131,Cliente0164,standard,2025-11-02,PERMANENTE,LIFETIME,active
165,A4AE-D57B-B357-9258,159C-8986-C92D-BA77-C92D-BA78-C92D-BA79,Cliente0165,standard,2025-11-02,PERMANENTE,LIFETIME,active
166,6471-E24B-ABAE-5D66,2090-9D6D-32A4-4B3E-32A4-4B3F-32A4-4B40,Cliente0166,standard,2025-11-02,PERMANENTE,LIFETIME,active
